,score,enemies beaten,enemies beaten list,enemies not beaten list,enemy lives,player lives,times
100,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[338, 391, 339, 147, 1000, 466, 20, 322]"
101,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 320, 340, 234, 894, 162, 302, 224]"
102,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[324, 322, 145, 168, 537, 640, 313, 226]"
103,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 313, 203]"
104,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 53.80000000000032, 0, 0, 0]","[336, 604, 269, 170, 1000, 320, 314, 245]"
105,1.4000000000000001,1,[8],"[1, 2, 3, 4, 5, 6, 7]","[90.0, 20.0, 70.0, 90.0, 90.0, 100, 20.0, 0]","[0, 0, 0, 0, 88.60000000000011, 0, 0, 28.600000000000257]","[321, 164, 83, 248, 1000, 213, 381, 331]"
106,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 94.60000000000005, 0, 0, 0]","[308, 409, 328, 1437, 1000, 543, 15, 446]"
107,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 339, 215, 440, 122, 315, 231]"
108,2.4250000000000003,2,"[2, 8]","[1, 3, 4, 5, 6, 7]","[100, 0, 70.0, 80.0, 90.0, 100, 20.0, 0]","[0, 26, 0, 0, 0, 0, 0, 28.000000000000256]","[331, 176, 83, 264, 572, 229, 401, 344]"
109,1.3624999999999998,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 40.0, 90.0, 70.0, 0, 90.0, 30.0, 90.0]","[0, 0, 0, 0, 33.40000000000027, 0, 0, 0]","[308, 329, 227, 217, 292, 147, 313, 208]"
110,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[325, 329, 339, 215, 440, 102, 265, 203]"
111,0.325,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 40.0, 100, 80.0, 60.0, 50.0, 20.0, 90.0]","[0, 0, 0, 0, 0, 0, 0, 0]","[322, 290, 219, 149, 362, 172, 242, 230]"
112,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 70.00000000000028, 0, 0, 0]","[315, 320, 340, 354, 1000, 215, 293, 237]"
113,0.15,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 60.0, 80.0, 100, 80.0, 90.0, 100, 70.0]","[0, 0, 0, 0, 0, 0, 0, 0]","[151, 165, 83, 418, 584, 177, 15, 380]"
114,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 63.40000000000034, 0, 0, 0]","[308, 320, 337, 354, 1000, 211, 311, 218]"
115,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 71.20000000000027, 0, 0, 0]","[174, 154, 83, 591, 1000, 531, 15, 481]"
